,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,"New Cost"
157,157,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
158,158,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
159,159,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
160,160,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
161,161,a'b'c'+a(b'c+c'),7,True,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
162,162,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
163,163,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
164,164,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
165,165,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
166,166,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
167,167,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
168,168,a'b'c'+a(b'c+c'),7,False,a'b'c'+a(b'c+c'),M0M1,a'b'c',a(b'c+c'),,,,a'b'c'+a(b'c+c'),7
